dtc_molregno,chembl_id,compound_name,standard_inchi_key,bioactivities
DTCC00528625,CHEMBL521851,PICTILISIB,LHNIIDJUOCFXAP-UHFFFAOYSA-N,379
DTCC00491794,CHEMBL255863,NILOTINIB,HHZIURLSWUIHRB-UHFFFAOYSA-N,379
DTCC00493506,CHEMBL259084,MLN-8054,HHFBDROWDBDFBR-UHFFFAOYSA-N,378
DTCC00007805,CHEMBL464552,GSK1838705A,HZTYDQRUAWIZRE-UHFFFAOYSA-N,378
DTCC00001798,CHEMBL379218,A-674563,BPNUQXPIQBZCMR-IBGZPJMESA-N,377
DTCC00440146,CHEMBL221959,TOFACITINIB,UJLAWZDWDVHWOW-YPMHNXCESA-N,376
DTCC00123550,CHEMBL573339,PI-103,TUVCWJQQGGETHL-UHFFFAOYSA-N,375
DTCC01156879,CHEMBL1908394,GSK-461364,ZHJGWYRLJUCMRT-QGZVFWFLSA-N,375
DTCC00268912,CHEMBL101253,VATALANIB,YCOYDOIWSSHVCK-UHFFFAOYSA-N,374
DTCC00527574,CHEMBL494089,GSK-690693,KGPGFQWBCSZGEL-ZDUSSCGKSA-N,373
DTCC01003551,CHEMBL1614701,SELUMETINIB,CYOHGALHFOKKQC-UHFFFAOYSA-N,372
DTCC00144511,CHEMBL554,LAPATINIB,BCFGMOOMADDAQU-UHFFFAOYSA-N,372
DTCC00480550,CHEMBL249697,BMS-345541,PSPFQEBFYXJZEV-UHFFFAOYSA-N,370
DTCC00190849,CHEMBL296468,BMS-387032,OUSFTKFNBAZUKL-UHFFFAOYSA-N,369
DTCC00434990,CHEMBL384304,RG-547,JRNJNYBQQYBCLE-UHFFFAOYSA-N,369
DTCC00008686,CHEMBL525191,GDC-0879,DEZZLWQELQORIU-RELWKKBWSA-N,365
DTCC00694574,CHEMBL1236107,SGX-523,BCZUAADEACICHN-UHFFFAOYSA-N,364
DTCC00030079,CHEMBL608154,ML-120B,ZNOLRTPMNMPLHY-UHFFFAOYSA-N,362
DTCC00561220,CHEMBL445813,AT-7519,OVPNQJVDAFNBDN-UHFFFAOYSA-N,362
DTCC00495192,CHEMBL261849,GW632580X,MYQAUKPBNJWPIE-UHFFFAOYSA-N,360
DTCC00272109,CHEMBL105442,CI-1040,GFMMXOIFOQCCGU-UHFFFAOYSA-N,360
DTCC00293200,CHEMBL119385,VX-745,VEPKQEUBKLEPRA-UHFFFAOYSA-N,360
DTCC00425663,CHEMBL379300,A-443654,YWTBGJGMTBHQTM-IBGZPJMESA-N,333
DTCC00500244,CHEMBL572878,TOZASERTIB,GCIKSSRWRFVXBI-UHFFFAOYSA-N,272
DTCC00631853,CHEMBL1081312,,NVRXTLZYXZNATH-UHFFFAOYSA-N,217
DTCC00694329,CHEMBL1233882,,GEZALMMCQYDFML-UHFFFAOYSA-N,215
DTCC00695829,CHEMBL1241674,,MFAQYJIYDMLAIM-UHFFFAOYSA-N,215
DTCC00695733,CHEMBL1241578,,ZLMVXCGWUJXFNP-UHFFFAOYSA-N,215
DTCC00694328,CHEMBL1233881,,ITOYZJGFTNTKKR-UHFFFAOYSA-N,215
DTCC00480463,CHEMBL249097,,SFCBIFOAGRZJNX-UHFFFAOYSA-N,213
DTCC01030466,CHEMBL1684525,,SXWKGTHRKXOKPB-UHFFFAOYSA-N,207
DTCC01030595,CHEMBL1684654,,LONFMYCCPGGOAF-UHFFFAOYSA-N,207
DTCC01030484,CHEMBL1684543,,DWXFUBUNKOCZDN-UHFFFAOYSA-N,207
DTCC01030603,CHEMBL1684662,,CDVMXMZPDJHSCC-UHFFFAOYSA-N,207
DTCC00562653,CHEMBL514409,HESPERADIN,GLDSKRNGVVYJAB-DQSJHHFOSA-N,205
DTCC00271377,CHEMBL103667,DORAMAPIMOD,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,205
DTCC00562781,CHEMBL511337,,QKAONCSNINNEGU-UHFFFAOYSA-N,204
DTCC00562594,CHEMBL516312,,JTSLALYXYSRPGW-UHFFFAOYSA-N,203
DTCC00698477,CHEMBL1254209,,CQXAPCMYRSTDGK-UHFFFAOYSA-N,201
DTCC00494016,CHEMBL408019,,AXWDQRXGOKDXJT-UHFFFAOYSA-N,200
DTCC00562782,CHEMBL450519,,CIGMIXWAESLRNR-UHFFFAOYSA-N,200
DTCC00123541,CHEMBL577784,BX-795,VAVXGGRQQJZYBL-UHFFFAOYSA-N,199
DTCC00562780,CHEMBL526901,,CFDCGXXHXUZSNP-UHFFFAOYSA-N,199
DTCC00168818,CHEMBL282342,,SBGMPUIVPOGTGN-UHFFFAOYSA-N,198
DTCC00112527,CHEMBL257167,,SAYGKHKXGCPTLX-UHFFFAOYSA-N,198
DTCC00562595,CHEMBL514582,,QMTVJEFAHHTNDS-UHFFFAOYSA-N,197
DTCC00464726,CHEMBL233000,,OKFHWMLGUMHKFC-UHFFFAOYSA-N,197
DTCC00248357,CHEMBL86755,,SEZFNTZQMWJIAI-FLIBITNWSA-N,197
DTCC00004111,CHEMBL261454,HTS-466284,IBCXZJCWDGCXQT-UHFFFAOYSA-N,197
DTCC00115888,CHEMBL515466,,GZGRGXPFYDFNHF-UHFFFAOYSA-N,197
DTCC01181498,CHEMBL1964275,,DANPUZSWWCDWEM-UHFFFAOYSA-N,195
DTCC00544270,CHEMBL478649,,BOPSUAHGQHFKGG-UHFFFAOYSA-N,195
DTCC00693988,CHEMBL1230790,,MWYBBCLGEHZSCP-UHFFFAOYSA-N,193
DTCC00694427,CHEMBL1234815,,UOKGZPYGRJDACN-UHFFFAOYSA-N,192
DTCC00495178,CHEMBL264406,,XSHQBIXMLULFEV-UHFFFAOYSA-N,142
DTCC00123543,CHEMBL573578,,GDQXJQSQYMMKRA-UHFFFAOYSA-N,142
DTCC00493272,CHEMBL258844,,BIWGYFZAEWGBAL-UHFFFAOYSA-N,136
DTCC00001004,CHEMBL191384,AS-601245,AVLYNJZZQYEFEA-XDJHFCHBSA-N,136
DTCC00023040,CHEMBL573108,BX-320,ZNSULAZTNWFKEW-UHFFFAOYSA-N,134
DTCC00123541,CHEMBL577784,BX-795,VAVXGGRQQJZYBL-UHFFFAOYSA-N,134
