compound_id,standard_inchi_key,compound_name,bioactivities
CHEMBL261720,ARIOBGGRZJITQX-UHFFFAOYSA-N,CDK1/2 INHIBITOR III,712
CHEMBL120077,ZDNURMVOKAERHZ-UHFFFAOYSA-N,JNJ-10198409,712
CHEMBL1076555,ZFGXZJKLOFCECI-UHFFFAOYSA-N,SKI II,712
CHEMBL266487,DQYBRTASHMYDJG-UHFFFAOYSA-N,RO-316233,710
CHEMBL23327,PMXCMJLOPOFPBT-HNNXBMFYSA-N,PURVALANOLA,710
CHEMBL65063,KKDPIZPUTYIBFX-UHFFFAOYSA-N,,708
CHEMBL596380,KFLWBZPSJQPRDD-ONEGZZNKSA-N,SYK INHIBITOR III,706
CHEMBL403183,DOEWDSDBFRHVAP-KRXBUXKQSA-N,BAY11-7082,704
CHEMBL191003,KDKUVYLMPJIGKA-UHFFFAOYSA-N,JNJ-7706621,703
CHEMBL56543,TUCIOBMMDDOEMM-RIYZIHGNSA-N,AG490,702
CHEMBL24828,UHTHHESEBZOYNR-UHFFFAOYSA-N,VANDETANIB,700
CHEMBL408982,BGVLELSCIHASRV-QPEQYQDCSA-N,TG003,692
CHEMBL1908391,WJEOLQLKVOPQFV-UHFFFAOYSA-N,MASITINIB,685
CHEMBL101253,YCOYDOIWSSHVCK-UHFFFAOYSA-N,VATALANIB,683
CHEMBL104264,ZKZXNDJNWUTGDK-NSCUHMNNSA-N,H-89,683
CHEMBL7917,GFNNBHLJANVSQV-UHFFFAOYSA-N,TYRPHOSTIN AG-1478,680
CHEMBL379787,QTCFYQHZJIIHBS-UHFFFAOYSA-N,IRAK-1-4 INHIBITOR I,680
CHEMBL595143,CVMUHXWSBHMVGZ-UHFFFAOYSA-N,,677
CHEMBL604483,RGGYJEYZTPRESN-UHFFFAOYSA-N,,677
CHEMBL595373,ZIJIMHMKDXTURQ-UHFFFAOYSA-N,,677
CHEMBL276711,WUWDLXZGHZSWQZ-WQLSENKSSA-N,SEMAXANIB,670
CHEMBL104279,MLKHXLFEYOOYEY-NVNXTCNLSA-N,SYK INHIBITOR,669
CHEMBL255863,HHZIURLSWUIHRB-UHFFFAOYSA-N,NILOTINIB,668
CHEMBL1241674,MFAQYJIYDMLAIM-UHFFFAOYSA-N,PP-242,666
CHEMBL563845,DNOKYISWMVFYFA-UHFFFAOYSA-N,,656
CHEMBL222102,XRKYMMUGXMWDAO-UHFFFAOYSA-N,KU-55933,628
CHEMBL221959,UJLAWZDWDVHWOW-YPMHNXCESA-N,TOFACITINIB,611
CHEMBL103667,MVCOAUNKQVWQHZ-UHFFFAOYSA-N,DORAMAPIMOD,605
CHEMBL278041,QHKYPYXTTXKZST-UHFFFAOYSA-N,SB-202190,588
CHEMBL475251,NHHQJBCNYHBUSI-UHFFFAOYSA-N,R406,582
CHEMBL509032,QQWUGDVOUVUTOY-UHFFFAOYSA-N,TAE-684,582
CHEMBL941,KTUFNOKKBVMGRW-UHFFFAOYSA-N,IMATINIB,581
CHEMBL223360,MPVGZUGXCQEXTM-UHFFFAOYSA-N,LINIFANIB,579
CHEMBL491473,XXJWYDDUDKYVKI-UHFFFAOYSA-N,CEDIRANIB,575
CHEMBL535,WINHZLLDWRZWRT-ATVHPVEESA-N,SUNITINIB,543
CHEMBL259084,HHFBDROWDBDFBR-UHFFFAOYSA-N,MLN-8054,525
CHEMBL215152,QYZOGCMHVIGURT-UHFFFAOYSA-N,AZD-1152-HQPA,524
CHEMBL119385,VEPKQEUBKLEPRA-UHFFFAOYSA-N,VX-745,523
,,C-BOSUTINIB,516
CHEMBL574738,ODPGGGTTYSGTGO-UHFFFAOYSA-N,AST-487,515
CHEMBL576817,SIIPGZWXUQVYMG-UHFFFAOYSA-N,,515
CHEMBL605003,LOGJQOUIVKBFGH-YBEGLDIGSA-N,SU-6656,513
CHEMBL559147,IYOZTVGMEWJPKR-IJLUTSLNSA-N,Y-27632,507
CHEMBL1725279,KRIUNPBAQZGFQA-UHFFFAOYSA-N,SP-600125,507
CHEMBL296468,OUSFTKFNBAZUKL-UHFFFAOYSA-N,BMS-387032,488
CHEMBL249697,PSPFQEBFYXJZEV-UHFFFAOYSA-N,BMS-345541,488
CHEMBL91829,ZCBUQCWBWNUWSU-SFHVURJKSA-N,RUBOXISTAURIN,481
CHEMBL105442,GFMMXOIFOQCCGU-UHFFFAOYSA-N,CI-1040,468
CHEMBL2218931,CMKMGFAUKPAOMG-CQSZACIVSA-N,,442
CHEMBL409450,DDLZLOKCJHBUHD-WAVHTBQISA-N,6BIO,442
CHEMBL91730,FNKVMIBWGQCPFN-UHFFFAOYSA-N,,442
CHEMBL126077,FQCPPVRJPILDIK-UHFFFAOYSA-N,INDIRUBIN-3-MONOXIME,442
CHEMBL471901,FQNFLNSVHWCZML-UHFFFAOYSA-N,,442
CHEMBL1398474,GYBXAGDWMCJZJK-UHFFFAOYSA-N,,442
CHEMBL290904,HFPLHASLIOXVGS-UHFFFAOYSA-N,,442
CHEMBL382590,IMYVCWQAHSYYOO-UHFFFAOYSA-N,ANILINOQUINAZOLINE1,442
CHEMBL2218929,IQNTXIMXKCURDC-MHWRWJLKSA-N,,442
CHEMBL404941,JBJYTZXCZDNOJW-RAXLEYEMSA-N,,442
CHEMBL2218940,JLOXTZFYJNCPIS-SQFISAMPSA-N,,442
CHEMBL596674,JSASWRWALCMOQP-UHFFFAOYSA-N,,442
CHEMBL281948,KOZFSFOOLUUIGY-SOLYNIJKSA-N,K-252A,442
CHEMBL13045,LLEJIEBFSOEYIV-UHFFFAOYSA-N,CHELERYTHRINE,442
CHEMBL2218941,MENDIXKFTXYTHJ-DMDINBDXSA-N,,442
CHEMBL1182777,MYKOWOGZBMOVBJ-UHFFFAOYSA-N,,442
CHEMBL64758,NMFKDDRQSNVETB-UHFFFAOYSA-N,,442
CHEMBL1186409,OTHITMYLBRCVIT-UHFFFAOYSA-N,,442
CHEMBL304428,OTPNDVKVEAIXTI-UHFFFAOYSA-N,,442
